"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"134","other","Father",2.37440109514031,"and",2,119,0.0168067226890756,16.8067226890756
"135","other","Father",2.4154688569473,"and",1,5,0.2,200
"136","other","Father",2.41666666666667,"and",21,1546,0.0135834411384217,13.5834411384217
"137","other","Father",2.41666666666667,"or",7,1546,0.00452781371280724,4.52781371280724
"138","other","Father",2.42488021902806,"and",5,90,0.0555555555555556,55.5555555555556
"139","other","Father",2.42488021902806,"or",1,90,0.0111111111111111,11.1111111111111
"140","other","Father",2.43309377138946,"and",2,21,0.0952380952380952,95.2380952380952
"141","other","Father",2.43583162217659,"and",3,127,0.0236220472440945,23.6220472440945
"142","other","Father",2.45499657768652,"and",9,284,0.0316901408450704,31.6901408450704
"143","other","Father",2.45499657768652,"or",1,284,0.00352112676056338,3.52112676056338
"144","other","Father",2.45773442847365,"and",7,249,0.0281124497991968,28.1124497991968
"145","other","Father",2.46321013004791,"and",21,326,0.0644171779141104,64.4171779141104
"146","other","Father",2.46594798083504,"and",2,93,0.021505376344086,21.505376344086
"147","other","Father",2.46868583162218,"and",1,72,0.0138888888888889,13.8888888888889
"148","other","Father",2.47689938398357,"and",2,23,0.0869565217391304,86.9565217391304
"149","other","Father",2.4796372347707,"or",1,35,0.0285714285714286,28.5714285714286
"150","other","Father",2.49880219028063,"and",2,77,0.025974025974026,25.974025974026
"151","other","Father",2.5,"and",39,2753,0.0141663639665819,14.1663639665819
"152","other","Father",2.5,"or",2,2753,0.000726480203414457,0.726480203414457
"153","other","Father",2.50273785078713,"and",1,9,0.111111111111111,111.111111111111
"154","other","Father",2.5082135523614,"and",2,25,0.08,80
"155","other","Father",2.51095140314853,"and",1,20,0.05,50
"156","other","Father",2.53011635865845,"and",1,53,0.0188679245283019,18.8679245283019
"157","other","Father",2.53011635865845,"or",1,53,0.0188679245283019,18.8679245283019
"158","other","Father",2.53285420944559,"and",8,83,0.0963855421686747,96.3855421686747
"159","other","Father",2.53285420944559,"or",1,83,0.0120481927710843,12.0481927710843
"160","other","Father",2.54380561259411,"and",1,40,0.025,25
"161","other","Father",2.54654346338125,"and",112,856,0.130841121495327,130.841121495327
"162","other","Father",2.56023271731691,"and",4,77,0.051948051948052,51.948051948052
"163","other","Father",2.56297056810404,"and",5,128,0.0390625,39.0625
"164","other","Father",2.56570841889117,"and",2,37,0.0540540540540541,54.0540540540541
"165","other","Father",2.5766598220397,"and",6,135,0.0444444444444444,44.4444444444444
"166","other","Father",2.57939767282683,"and",2,25,0.08,80
"167","other","Father",2.58333333333333,"and",12,1432,0.00837988826815642,8.37988826815642
"168","other","Father",2.58333333333333,"or",9,1432,0.00628491620111732,6.28491620111732
"169","other","Father",2.58607118412047,"and",1,45,0.0222222222222222,22.2222222222222
"170","other","Father",2.5888090349076,"and",1,29,0.0344827586206897,34.4827586206897
"171","other","Father",2.59154688569473,"and",1,22,0.0454545454545455,45.4545454545455
"172","other","Father",2.60249828884326,"and",4,73,0.0547945205479452,54.7945205479452
"173","other","Father",2.61618754277892,"and",2,64,0.03125,31.25
"174","other","Father",2.63261464750171,"and",1,7,0.142857142857143,142.857142857143
"175","other","Father",2.6490417522245,"and",4,108,0.037037037037037,37.037037037037
"176","other","Father",2.6490417522245,"or",3,108,0.0277777777777778,27.7777777777778
"177","other","Father",2.65177960301164,"and",1,26,0.0384615384615385,38.4615384615385
"178","other","Father",2.65177960301164,"or",1,26,0.0384615384615385,38.4615384615385
"179","other","Father",2.6694045174538,"and",1,8,0.125,125
